candidate_id,age,party,education,earnings,constituency,candidate_name,sex
5814,54,TRS,Post Graduate,18477888.45,ADILABAD,GODAM NAGESH,M
5819,53,IND,5th Pass,30000,ADILABAD,AARE ELLANNA,M
5823,46,IND,Literate,0,ADILABAD,NETHAVATH RAMDAS,M
4588,53,INC,12th Pass,21191000,ADILABAD,RAMESH RATHOD,M
5815,27,Janasena Party,Post Graduate,50000,ADILABAD,DHARAVTH NARENDHAR,M
5820,29,IND,10th Pass,30000,ADILABAD,KUMRA RAJU,M
5824,39,IND,Post Graduate,1140000,ADILABAD,PAWAR KRISHNA,M
5069,52,BJP,12th Pass,2867964.09,ADILABAD,BAPU RAO SOYAM,M
5813,47,IND,Post Graduate,670000,ADILABAD,GANTA PENTANNA,M
5816,33,Ambedkarite Party of India,5th Pass,274000,ADILABAD,BHEEM RAO,M
5821,35,Nava Praja Rajyam Party,Illiterate,1300000,ADILABAD,KUMRAM VANDANA,F
7132,64,IND,Literate,-83800,AGRA,AMBEDKARI HASNURAM AMBEDKARI,M
7135,30,Rashtriya Vyapari Party,8th Pass,948885,AGRA,RAJA,M
5522,58,BJP,Doctorate,65667514,AGRA,SATYAPAL SINGH BAGHEL,M
7133,63,IND,Graduate,5015863,AGRA,BABU LAL,M
7136,61,Peace Party,10th Pass,318500,AGRA,RAMJI LAL VIDHYARTHI,M
5519,47,BSP,Post Graduate,111532488,AGRA,MANOJ KUMAR SONI,M
7134,26,Lok Gathbandhan Party,Graduate,30000,AGRA,HIMANSHI,F
5521,54,INC,Post Graduate,55075753,AGRA,PREETA HARIT,F
9370,27,Jan Sangharsh Virat Party,Others,-65947,AHMEDABAD EAST,MISHRA ARJUN RAMSHANKAR,M
8486,39,INC,10th Pass,37253530,AHMEDABAD EAST,GEETABEN PATEL,F
9373,47,IND,Doctorate,2100000,AHMEDABAD EAST,PARESHKUMAR NANUBHAI MULANI,M
9376,38,Right to Recall Party,Post Graduate,2505720,AHMEDABAD EAST,BHATT SUNILKUMAR NARENDRABHAI,M
10032,57,IND,Others,9609132,AHMEDABAD EAST,MAHESH PRABHUDAS AHUJA,M
9379,35,Sarvodaya Bharat Party,8th Pass,2325000,AHMEDABAD EAST,MANOJ PREMCHAND GUPTA,M
10035,33,IND,8th Pass,140000,AHMEDABAD EAST,SHEKH SALMABANU MOHAMAD SALIM,F
9384,44,Prajatantra Aadhar Party,10th Pass,17796,AHMEDABAD EAST,RAJESH MAURYA,M
9387,45,Jan Satya Path Party,12th Pass,13503000,AHMEDABAD EAST,VIRAT PRADIP SHAH,M
9371,25,Hindusthan Nirman Dal,12th Pass,9298481.34,AHMEDABAD EAST,VEKARIYA RUSHI BHARATBHAI (PATEL),M
8487,59,BSP,12th Pass,70910239,AHMEDABAD EAST,VAGHELA GANESHBHAI NARSINHBHAI,M
9374,40,Lok Gathbandhan Party,Graduate Professional,1514539,AHMEDABAD EAST,MUNDRA ANILKUMAR,M
10030,45,IND,10th Pass,2850000,AHMEDABAD EAST,CHAUHAN KIRITBHAI,M
9377,32,IND,Graduate,6963794,AHMEDABAD EAST,MINAXIBEN RAKESHKUMAR SOLANKI,F
10033,36,IND,12th Pass,1538000,AHMEDABAD EAST,MISHRA RAJKUMAR MALEKCHAND,M
9381,34,IND,Graduate,2862541.44,AHMEDABAD EAST,ATULBHAI NANUBHAI KATHIRIYA,M
9385,51,Yuva Jan Jagriti Party,Graduate,5294629,AHMEDABAD EAST,CHAUHAN NARENDRA SINH MAKHATUL SINH,M
9388,33,Loktantrik Rashrtavadi Party,12th Pass,1148735,AHMEDABAD EAST,THAKUR JITENDRASINH SURENDRASINH,M
9369,33,Ambedkar National Congress,5th Pass,50000,AHMEDABAD EAST,KADRI MOHAMMAD SABIR,M
9372,55,IND,5th Pass,65000,AHMEDABAD EAST,DEVDA DASHARATH MISARILAL,M
9375,37,Manvadhikar National Party,8th Pass,95000,AHMEDABAD EAST,SAMIRBHAI RAJESHBHAI UPADHYAY,M
10031,42,IND,8th Pass,1790000,AHMEDABAD EAST,BHARVAD SAILESHKUMAR KALIDAS,M
9378,28,IND,10th Pass,562000,AHMEDABAD EAST,JAYSWAL NARESHKUMAR BABULAL,M
10034,38,IND,Graduate,26800,AHMEDABAD EAST,SHARMA BRIJESHKUMAR UJAGARLAL,M
9383,38,Nirbhay Bharteey Party,Graduate Professional,3333565,AHMEDABAD EAST,DR. HITESHKUMAR MAHENDRABHAI,M
9386,58,BJP,Others,68447113,AHMEDABAD EAST,PATEL HASMUKHBHAI SOMABHAI,M
9392,37,Bhartiya Tribal Party,8th Pass,492329,AHMEDABAD WEST,VAGHELA ASHWINBHAI AMRUTBHAI,M
9395,37,Peoples Party of India (Democratic),Post Graduate,550105,AHMEDABAD WEST,JADAV ULPESH JYANTILAL,M
8489,66,BSP,8th Pass,5354000,AHMEDABAD WEST,TRIBHOVANDAS KARSANDAS VAGHELA,M
10038,62,IND,Graduate,13782000,AHMEDABAD WEST,MAHEDIA MAHENDRABHAI PARSOTTAMDAS,M
9390,40,Rashtriya Power Party,Graduate Professional,3293451,AHMEDABAD WEST,CHAUHAN HARISHBHAI JETHABHAI,M
